Time_ms,Main_val,Compasste1_val,Compasste2_val,Main_raw,Compasste1_raw,Compasste2_raw,Marker
13,0,0,0,462,461,462,1
25,0,0,0,462,461,462,0
37,0,0,0,462,462,463,0
49,0,0,0,462,461,463,0
61,0,0,0,462,461,463,0
73,0,0,0,463,461,463,0
84,0,0,0,463,461,463,0
96,0,0,0,462,462,462,0
108,0,0,0,462,461,462,0
119,0,0,0,462,462,462,0
131,0,0,0,462,462,462,0
143,0,0,0,462,462,462,0
155,0,0,0,462,461,462,0
166,0,0,0,462,461,462,0
178,0,0,0,462,462,462,0
190,0,0,0,462,461,462,0
201,0,0,0,462,461,462,0
213,0,0,0,462,461,463,0
225,0,0,0,462,461,462,0
236,0,0,0,462,461,463,0
248,0,0,0,462,462,462,0
260,0,0,0,462,461,462,0
272,0,0,0,462,462,463,0
283,0,0,0,462,462,462,0
295,0,0,0,463,462,463,0
307,0,0,0,462,462,462,0
318,0,0,0,462,461,462,0
330,0,0,0,462,462,463,0
342,0,0,0,462,462,462,0
354,0,0,0,462,461,462,0
365,0,0,0,462,462,463,0
377,0,0,0,462,462,463,0
389,0,0,0,462,462,462,0
400,0,0,0,462,461,462,0
412,0,0,0,462,462,462,0
424,0,0,0,462,462,462,0
435,0,0,0,462,462,463,0
447,0,0,0,462,462,462,0
459,0,0,0,462,461,462,0
471,0,0,0,462,462,463,0
482,0,0,0,462,461,463,0
494,0,0,0,462,462,462,0
506,0,0,0,462,461,462,0
517,0,0,0,462,461,462,0
529,0,0,0,462,461,462,0
541,0,0,0,462,461,463,0
552,0,0,0,462,461,462,0
564,0,0,0,462,461,462,0
576,0,0,0,462,461,462,0
588,0,0,0,462,461,462,0
599,0,0,0,462,461,462,0
611,0,0,0,462,461,462,0
623,0,0,0,462,462,462,0
634,0,0,0,462,462,462,0
646,0,0,0,462,462,462,0
658,0,0,0,462,462,462,0
670,0,0,0,462,462,462,0
681,0,0,0,462,462,462,0
693,0,0,0,462,462,462,0
705,0,0,0,462,462,462,0
716,0,0,0,462,462,462,0
728,0,0,0,462,462,462,0
740,0,0,0,462,462,462,0
751,0,0,0,462,462,462,0
763,0,0,0,462,461,462,0
775,0,0,0,462,461,462,0
787,0,0,0,462,461,462,0
798,0,0,0,462,461,462,0
810,0,0,0,462,461,462,0
822,0,0,0,462,461,462,0
833,0,0,0,462,461,462,0
845,0,0,0,462,461,462,0
857,0,0,0,462,461,462,0
868,0,0,0,462,461,462,0
880,0,0,0,462,462,462,0
892,0,0,0,462,461,462,0
904,0,0,0,462,461,462,0
915,0,0,0,462,461,462,0
927,0,0,0,462,461,462,0
939,0,0,0,462,461,462,0
950,0,0,0,462,461,462,0
962,0,0,0,462,461,462,0
974,0,0,0,462,461,462,0
986,0,0,0,462,461,462,0
997,0,0,0,462,461,462,0
1009,0,0,0,462,461,462,0
1021,0,0,0,462,461,462,0
1032,0,0,0,462,461,462,0
1044,0,0,0,462,461,462,0
1056,0,0,0,462,461,462,0
1067,0,0,0,462,461,462,0
1079,0,0,0,462,462,463,0
1091,0,0,0,462,462,462,0
1103,0,0,0,462,461,463,0
1114,0,0,0,462,462,463,0
1126,0,0,0,462,461,462,0
1138,0,0,0,462,461,462,0
1149,0,0,0,462,461,462,0
1161,0,0,0,462,461,462,0
1173,0,0,0,462,461,462,0
1185,0,0,0,462,461,462,0
1196,0,0,0,462,461,462,0
1208,0,0,0,462,461,462,0
1220,0,0,0,462,461,462,0
1231,0,0,0,462,461,462,0
1243,0,0,0,462,462,462,0
1255,0,0,0,462,462,462,0
1266,0,0,0,462,461,462,0
1278,0,0,0,462,462,462,0
1290,0,0,0,462,461,462,0
1302,0,0,0,462,461,462,0
1313,0,0,0,462,461,462,0
1325,0,0,0,462,461,462,0
1337,0,0,0,462,461,462,0
1348,0,0,0,462,461,462,0
1360,0,0,0,462,461,462,0
1372,0,0,0,462,461,462,0
1383,0,0,0,462,461,462,0
1395,0,0,0,462,461,462,0
1407,0,0,0,462,461,463,0
1419,0,0,0,462,461,462,0
1430,0,0,0,462,462,462,0
1442,0,0,0,462,461,463,0
1454,0,0,0,462,462,462,0
1465,0,0,0,462,462,462,0
1477,0,0,0,462,462,463,0
1489,0,0,0,462,462,463,0
1501,0,0,0,462,462,463,0
1512,0,0,0,462,461,462,0
1524,0,0,0,462,462,463,0
1536,0,0,0,462,462,462,0
1547,0,0,0,462,461,463,0
1559,0,0,0,462,461,463,0
1571,0,0,0,462,461,462,0
1582,0,0,0,462,461,462,0
1594,0,0,0,462,461,462,0
1606,0,0,0,462,461,462,0
1618,0,0,0,462,461,462,0
1629,0,0,0,462,461,462,0
1641,0,0,0,462,461,462,0
1653,0,0,0,462,461,462,0
1664,0,0,0,462,461,462,0
1676,0,0,0,462,462,462,0
1688,0,0,0,462,462,462,0
1700,0,0,0,462,461,462,0
1711,0,0,0,462,462,462,0
1723,0,0,0,462,461,463,0
1735,0,0,0,463,462,463,0
1746,0,0,0,463,462,463,0
1758,0,0,0,462,462,462,0
1770,0,0,0,463,462,463,0
1781,0,0,0,463,461,463,0
1793,0,0,0,463,462,463,0
1805,0,0,0,463,462,463,0
1817,0,0,0,463,462,463,0
1828,0,0,0,463,462,463,0
1840,0,0,0,463,461,463,0
1852,0,0,0,463,462,463,0
1863,0,0,0,463,462,463,0
1875,0,0,0,463,462,462,0
1887,0,0,0,463,462,463,0
1898,0,0,0,462,461,463,0
1910,0,0,0,462,461,462,0
1922,0,0,0,462,461,462,0
1934,0,0,0,462,461,462,0
1945,0,0,0,462,461,462,0
1957,0,0,0,462,461,462,0
1969,0,0,0,462,461,462,0
1980,0,0,0,462,461,462,0
1992,0,0,0,462,461,462,0
2004,0,0,0,462,461,462,0
2016,0,0,0,462,461,463,0
2028,0,0,0,462,461,462,0
2040,0,0,0,462,461,463,0
2052,0,0,0,462,461,463,0
2064,0,0,0,462,462,463,0
2075,0,0,0,462,461,462,0
2087,0,0,0,462,461,462,0
2099,0,0,0,462,461,462,0
2111,0,0,0,462,461,462,0
2122,0,0,0,462,461,462,0
2134,0,0,0,462,461,462,0
2146,0,0,0,462,461,462,0
2157,0,0,0,462,462,462,0
2169,0,0,0,462,461,462,0
2181,0,0,0,462,462,462,0
2193,0,0,0,462,462,462,0
2204,0,0,0,462,461,462,0
2216,0,0,0,462,462,462,0
2228,0,0,0,462,461,462,0
2239,0,0,0,462,461,462,0
2251,0,0,0,462,461,462,0
2263,0,0,0,462,461,462,0
2274,0,0,0,462,462,462,0
2286,0,0,0,462,462,462,0
2298,0,0,0,462,461,462,0
2310,0,0,0,462,462,462,0
2321,0,0,0,462,461,462,0
2333,0,0,0,462,461,462,0
2345,0,0,0,462,461,462,0
2356,0,0,0,462,462,462,0
2368,0,0,0,462,462,462,0
2380,0,0,0,462,462,462,0
2392,0,0,0,462,461,462,0
2403,0,0,0,462,461,462,0
2415,0,0,0,462,461,462,0
2427,0,0,0,462,461,462,0
2438,0,0,0,463,461,462,0
2450,0,0,0,462,461,462,0
2462,0,0,0,462,461,462,0
2473,0,0,0,462,461,463,0
2485,0,0,0,462,461,462,0
2497,0,0,0,462,461,462,0
2509,0,0,0,462,461,462,0
2520,0,0,0,462,462,462,0
2532,0,0,0,462,461,462,0
